start_date,end_date,period_days,regime_total_return,regime_sharpe,regime_max_drawdown,regime_prediction_accuracy,static_mpt_outperformance,regime_return_advantage,regime_sharpe_advantage,success,outperformed_static
2021-01-01,2022-01-01,365,0.04847314924380597,2.5429645398893337,-0.032927086740789965,0.0,0.4166666666666667,-0.03952691962154398,-2.1491883949931188,True,False
2021-01-01,2022-07-01,546,-0.08401107875635294,-2.5664808775377557,-0.1261372353136632,0.05555555555555555,0.4444444444444444,-0.02256821957506605,-0.815961987635963,True,False
2021-01-01,2023-01-01,730,-0.13497038875078005,-2.819197359919748,-0.21340253550100338,0.041666666666666664,0.4583333333333333,-0.0315184258184521,-0.8276411854501611,True,False
2021-01-01,2023-07-01,911,-0.07059696257828652,-0.9200069788819688,-0.21142467034859957,0.1,0.43333333333333335,-0.048969213679087575,-0.8091005763107354,True,False
2021-07-01,2022-07-01,365,-0.10915230831548395,-5.686376661264428,-0.12812882871105946,0.0,0.5,0.0007591645400204516,-0.5861035372814767,True,True
2021-07-01,2023-01-01,549,-0.159825520749581,-4.630520067480357,-0.21540954649608018,0.05555555555555555,0.5,-0.008928921146395985,-0.6390827855541672,True,False
2021-07-01,2023-07-01,730,-0.09901779226148433,-1.7500454865332877,-0.21396556614103512,0.041666666666666664,0.4583333333333333,-0.02356168205011333,-0.5545321494914597,True,False
2022-01-01,2023-01-01,365,-0.14516773249365478,-5.634630408491174,-0.19740571981832358,0.8333333333333334,0.5,-0.002246225340057584,-0.4386252543145952,True,False
2022-01-01,2023-07-01,546,-0.08565163396339115,-1.807105249524561,-0.19768251151012195,0.7222222222222222,0.4444444444444444,-0.015784403712049366,-0.4363110294114365,True,False
2022-07-01,2023-07-01,365,-0.012609867296631716,-0.14105846000050692,-0.0803610467973694,0.8333333333333334,0.4166666666666667,-0.014348119399437476,-0.4596343974830174,True,False
